DayJulian	time_numeric	Temp	Snet	VPD	WS
4	12	24.9	202.3	0.233077201851917	3.1
4	12.5	25.4	328.7	0.133039925761165	1
4	13	26	160.4	0.205106511744737	3.2
4	13.5	25.9	242.4	0.203896175130865	3.4
4	14	26.4	363.2	0.289195107452717	3.2
4	14.5	25.6	319	0.259408099028367	4.3
4	15	26.1	261	0.324705220072796	4.8
4	15.5	25.4	109.7	0.181713069332322	3.9
4	16	25.3	99.6	0.19353846844177	4.2
4	16.5	24.6	105.5	0.129937863918588	4.2
4	17	24.5	88.3	0.0922592371361061	4.1
4	17.5	25	18.1	0.11089859942964	3
4	18	25.2	14.3	0.125053718118013	2.6
4	18.5	25.4	10.1	0.1849579455704	3
5	7	23.2	0.8	0.00853212906823988	2.6
5	7.5	23.2	17	0.00568808604549339	1.6
5	8	23.2	31.1	0.00284404302274649	0.9
5	8.5	23.3	82.3	0	1.1
5	9	23.4	119.4	0.00863580451453537	1.7
5	9.5	23.6	153.4	0.0233082098740732	2.2
5	10	23.9	257.5	0.0415325006628052	1
5	10.5	24.6	310.4	0.0711564492887505	0.9
5	11	25	369	0.120404193666466	1.8
5	11.5	25.7	428.5	0.231222822987521	3
5	12	25.7	230	0.198190991132161	3.2
5	12.5	25.9	279.1	0.190525934138678	2.2
5	13	26.2	331.6	0.190534026217542	1.8
5	13.5	27	478.1	0.545680034167499	4.6
5	14	27.6	723.7	0.860732538870125	5.4
5	14.5	27.8	632.1	0.829733268745711	4.2
5	15	27.4	292.6	0.708325942939651	4.1
5	15.5	27.1	211.3	0.602705276871575	3.9
5	16	27	131.4	0.53854696182544	3.5
5	16.5	26.8	123.7	0.440608336116365	3.1
5	17	26.6	107.4	0.435452768268944	3.6
5	17.5	26.4	100.7	0.457892253466801	3.4
5	18	26.2	50	0.421896772338844	4
5	18.5	26	13.7	0.373226603338783	3.8
6	7	24.9	5.9	0.204729974599657	3.3
6	7.5	25.1	22.2	0.251810063693309	3.7
6	8	25.4	79.4	0.298528613903101	3.5
6	8.5	25.7	128.1	0.333621501739138	3.8
6	9	26	149.3	0.376589005170664	4.5
6	9.5	26.4	218.9	0.416578666687842	4.4
6	10	27	341.7	0.552813106509558	4.2
6	10.5	27	215	0.570645787364705	5.3
6	11	26.5	407.9	0.446747393243334	4.9
6	11.5	27.3	540.3	0.635222907955173	5.7
6	12	27.6	480.8	0.709273165077528	5.9
6	12.5	26	366.1	0.423662630816997	5.5
6	13	26.6	505.3	0.438936390415095	5.4
6	13.5	27.3	583.7	0.700560121344848	7
6	14	27.5	521.4	0.763899370041664	6.4
6	14.5	27.4	391.8	0.847070199804118	6.1
6	15	27.6	534	0.919838635959919	6.6
6	15.5	27.4	285.6	0.814209717915165	5.2
6	16	27.2	248.2	0.772247731970181	5.4
6	16.5	27.2	231.5	0.757813194924009	4.6
6	17	27	112.2	0.674075336324558	5.1
6	17.5	26.9	89.8	0.719766561016643	5.4
6	18	26.8	48.6	0.733172271297632	5
6	18.5	26.6	14.7	0.693240807084159	4.3
7	7	25.7	4.7	0.71348756807578	2.5
7	7.5	25.6	38.4	0.682998539213928	2.7
7	8	25.7	89.2	0.68045573622042	2.5
7	8.5	26.2	228.2	0.71110020499047	2.2
7	9	26.8	232.2	0.835393405276629	3.4
7	9.5	26.7	270	0.79194728543662	3.6
7	10	26.7	214.9	0.728871837923969	3.9
7	10.5	24.9	237.9	0.324418267442533	3.7
7	11	26.5	492.2	0.675315826995738	4.7
7	11.5	27.2	535.6	1.00320032470893	6
7	12	27.2	493.5	1.07176437567824	6.1
7	12.5	27.5	604.6	1.10545053068529	5.2
7	13	27.8	622.6	1.11752363673409	4.8
7	13.5	27.7	680.2	1.11101790659073	5.3
7	14	27.5	441.7	1.07606978568369	5.3
7	14.5	27.4	398.6	1.06248891440948	5.6
7	15	27.4	376.9	1.05153542044649	5.1
7	15.5	27.3	345.9	0.990947736410071	4.8
7	16	27.1	261.9	0.875357664027764	5
7	16.5	26.8	146.4	0.782520404942665	4.7
7	17	25.1	68.9	0.315559446906805	2.7
7	17.5	25.2	74.9	0.272552975385413	1.9
7	18	25.9	58.1	0.477986115470717	2.6
7	18.5	25.6	20.2	0.426874087008705	2.7
8	7	23.8	3.7	0.250649740445589	0.7
8	7.5	23.5	35.9	0.185345144647735	0.7
8	8	23.6	86.4	0.195206257695363	1.1
8	8.5	24.1	162.7	0.147120631715096	0.4
8	9	25	229.8	0.174269227675149	0.3
8	9.5	25.7	157.2	0.257648288471809	1.2
8	10	26.2	317.6	0.377665659109771	2.2
8	10.5	26.8	295.1	0.609801937185049	3.7
8	11	25.9	198	0.444560512990247	4
8	11.5	24.8	358	0.209773666443645	3.2
8	12	25.8	361.9	0.355541830607844	2.9
8	12.5	26.4	434.3	0.523305432533487	3.1
8	13	26.8	597.4	0.585127870362533	3.2
8	13.5	27	316.9	0.681208408666617	2.8
8	14	27	310.9	0.677641872495587	3.2
8	14.5	26.8	306.1	0.652100337452221	3.3
8	15	26.6	352.5	0.578281276261157	2.3
8	15.5	26.8	300.2	0.630951137318635	2.1
8	16	26.9	253.5	0.677218784010733	2.4
8	16.5	26.5	211.2	0.588736874816797	3.5
8	17	26.3	217	0.6331706636239	3.8
8	17.5	25.9	107.4	0.655141808617207	2.5
8	18	25.7	65.5	0.518599760129155	2.2
8	18.5	25.5	19.6	0.453725373483439	2.5
9	7	23.4	3.3	0.0287860150484515	2.8
9	7.5	23.9	38.4	0.0711985725648088	2.5
9	8	24.5	125.7	0.113786392467864	2.1
9	8.5	25.3	240.4	0.238697444411517	2.1
9	9	25.7	251.2	0.317105585811458	2.7
9	9.5	26.1	372.5	0.40926387113342	2.9
9	10	26.5	411.1	0.609515823339742	3.9
9	10.5	27.1	507.2	0.71033121917007	3.5
9	11	27	394.1	0.731139915061028	4.6
9	11.5	27	468.3	0.691908017179705	4.3
9	12	27.5	572.6	0.807970487544068	4.3
9	12.5	26.8	365.4	0.655625204141151	5.3
9	13	26.7	631.2	0.504603580101209	4.1
9	13.5	26.6	547.2	0.431969146122792	3.6
9	14	26.5	202.3	0.446747393243334	4.2
9	14.5	26.1	166.8	0.466763753854645	5
9	15	26.4	222.4	0.547405024821214	5.1
9	15.5	26.3	202.8	0.492846354388333	3.6
9	16	25.1	111.2	0.207185495443862	3.9
9	16.5	25.5	128.4	0.332949554642524	4.3
9	17	25.8	209.6	0.362187472301449	3.9
9	17.5	25.8	135.3	0.398738501616274	4.7
9	18	25.6	35.5	0.331648329137532	4.3
9	18.5	25.2	14.9	0.282172492163721	3.8
10	7	23.8	3.9	0.0501299480891179	2.5
10	7.5	24	54.2	0.0567052628289549	2.7
10	8	24.5	77.7	0.0861086213270323	1.7
10	8.5	25.1	167.5	0.149811050551715	2.5
10	9	26	209	0.32615297769245	2.6
10	9.5	26.4	375.5	0.475106247958034	4
10	10	26.9	475.6	0.634671007004824	4.4
10	10.5	27	433.3	0.684774944837646	4.2
10	11	27.2	503.1	0.732552755093209	4.4
10	11.5	27.5	540.7	0.789607521918066	4
10	12	27.7	701	0.951239411662962	5
10	12.5	27.8	761.1	0.930646774403973	4.8
10	13	27.9	648.7	0.969926857489594	5.4
10	13.5	27.8	509.7	0.930646774403973	5.1
10	14	27.6	464.9	0.805320572848443	4.5
10	14.5	27.1	396	0.667280842250672	4.5
10	15	27.5	568.6	0.767571963166865	3.8
10	15.5	27.9	561.2	0.883460509728894	4.3
10	16	27.6	531.4	0.831179490325228	4.8
10	16.5	27.4	408.8	0.755791083445916	4.5
10	17	27.4	358.6	0.741186424828603	4.1
10	17.5	27.2	169.2	0.67120597264698	3.6
10	18	26.6	42.1	0.536477810507339	3.4
10	18.5	26.4	19.7	0.502648639144007	3.3
11	7	24.2	4.4	0.0604106133896537	2.4
11	7.5	24.3	26.6	0.0911608298403889	2.7
11	8	24.5	44.8	0.144539471513233	3
11	8.5	24.7	100.2	0.189850664176484	2.9
11	9	25.1	152.3	0.264559940336008	4.2
11	9.5	25.4	299.8	0.305018366379256	4.3
11	10	25.7	504.9	0.35674378403789	4.6
11	10.5	26.3	386.2	0.544184516303784	4.2
11	11	26.2	391.7	0.520566178772928	4.1
11	11.5	26.6	568.6	0.714142539961068	4.9
11	12	27.1	752.7	0.782081847369067	4.8
11	12.5	27.2	588.5	0.819159977370239	4.3
11	13	27.2	629.7	0.873289491293382	4.6
11	13.5	27.1	491.5	0.843069881338215	3.9
11	14	27	504.3	0.770371812942352	4.2
11	14.5	27	555	0.884500970415293	5.1
11	15	27.6	641.4	1.01588604373083	4.5
11	15.5	27.3	353.9	0.882052380760612	4.4
11	16	26.2	287.3	0.649857125134831	3.7
11	16.5	26.7	249.7	0.704342497224604	3.4
11	17	26.8	215.5	0.680299270963668	3.6
11	17.5	24.8	63	0.347535477242457	4.2
11	18	24.7	51.5	0.252096783578611	2.2
11	18.5	25.1	17.4	0.283684755300057	3.3
12	7	24.7	2.6	0.245872171638398	2.8
12	7.5	24.8	28.9	0.234821268407066	2.8
12	8	24.9	66.9	0.251975353353424	2
12	8.5	25.3	128.8	0.287082061521959	1.8
12	9	25.6	213.2	0.361201150545827	2.2
12	9.5	26	182.2	0.427025032648878	2.8
12	10	26.5	250.8	0.578347400555324	3.2
12	10.5	25.7	179.2	0.402988348635394	3.8
12	11	25.7	362.4	0.369956516780034	3.3
12	11.5	27.4	698.1	0.916442328236352	4.3
12	12	27.7	829.9	1.05156544336179	4.9
12	12.5	27.8	799.7	1.16984915818652	4.6
12	13	27.5	552.9	0.995272736929283	4.2
12	13.5	27.4	686.4	0.931046986853665	4
12	14	27.3	670.8	0.878422535572297	4.6
12	14.5	27.6	743.3	0.971556470913489	4.8
12	15	27.8	633.1	1.05772304078845	4
12	15.5	27.5	526.1	0.929166060675678	4.3
12	16	27.6	511	1.02327430586706	4.3
12	16.5	27.5	459.9	1.03199866818129	3.8
12	17	27.3	294.6	0.98368804603344	3.7
12	17.5	27.2	220	1.03928666732436	4.1
12	18	26.9	110.9	0.964416278800626	3.3
12	18.5	26.3	29.1	0.752959708093286	2.9
13	7	23.6	0.8	0.235995624974991	0.2
13	7.5	23.9	39.3	0.261061432737632	0.5
13	8	23.6	133.4	0.24182267744351	1
13	8.5	24.6	242.4	0.355782246443753	0.4
13	9	26.9	304.1	0.673673135926908	0.3
13	9.5	26.4	287.2	0.58183301380368	1.9
13	10	26.4	256.5	0.599047008294913	3
13	10.5	27.3	564.4	0.874792690383982	3.5
13	11	27.5	720	0.921820874425277	4.1
13	11.5	27.7	688.9	0.954955190614771	4
13	12	27.6	601.3	0.868120801006349	4.5
13	12.5	27.1	908.9	0.638580590971073	3.7
13	13	27.6	684.8	0.842261883529564	4.1
13	13.5	28	819.2	0.998286157069328	4.5
13	14	27.9	652	0.973686263913973	4.3
13	14.5	27.8	540.9	0.945596923390382	4.5
13	15	27.7	606.3	0.880639611578602	4.9
13	15.5	27.6	569.9	0.901367980619359	4
13	16	27.6	350.3	0.875509063142574	4.1
13	16.5	27.2	226	0.790290903277896	4.7
13	17	27.1	253.2	0.771319253139218	4.7
13	17.5	27.2	207.1	0.779465000493267	3.8
13	18	26.8	78.8	0.743746871364424	4.2
13	18.5	26.4	16.4	0.60248980719316	2.5
14	7	24.6	-0.4	0.222750623860437	3
14	7.5	24.6	29.8	0.225844382525165	2.5
14	8	24.9	76.7	0.264574121021095	2.2
14	8.5	25	92.2	0.262988107218861	1.6
14	9	25.1	166.5	0.23268524872926	2.3
14	9.5	25.9	296.8	0.297487862076181	2.2
14	10	26.5	299.3	0.522936871160802	3.3
14	10.5	26.6	333.4	0.599183009138067	3.4
14	11	26.8	293.6	0.620376537251842	3.5
14	11.5	26.9	309.2	0.588577581915088	2.6
14	12	27.2	566.1	0.728944120831666	3.5
14	12.5	27.8	624.4	0.964284609623393	4.4
14	13	27.6	628.7	0.923532767028031	4.7
14	13.5	28	731.2	1.10416499191001	4.6
14	14	27.9	588.8	1.07143083094781	4.5
14	14.5	27.8	495.7	0.956809535130189	4.3
14	15	27.8	537.5	0.900746476431154	3.6
14	15.5	27.6	419.2	0.849650145665789	3.9
14	16	26.4	276.2	0.612818203887899	4.4
14	16.5	26.3	333.1	0.345676956897372	2.9
14	17	27	311.8	0.545680034167499	4.5
14	17.5	26.8	181.4	0.592177603740395	4.4
14	18	26.7	99.2	0.532637112329054	3.4
14	18.5	25.8	33.8	0.309022338752612	3
15	7	25	1.2	0.237639855920658	1.7
15	7.5	25	32.2	0.237639855920658	1.8
15	8	25.5	107.4	0.32315692068245	2.8
15	8.5	26.3	229.5	0.462043457239062	3.3
15	9	26.8	330.6	0.602752203807188	4.5
15	9.5	26.9	255.8	0.659490543591604	5
15	10	27	301	0.699041089521764	4.5
15	10.5	27.7	611	0.902934285289452	4.7
15	11	27.6	502.4	0.875509063142574	5.3
15	11.5	27.5	292	0.826333453170069	4.5
15	12	27.5	331.3	0.863059384422072	5
15	12.5	27.6	567.3	0.83487362139334	4.6
15	13	28	837.1	0.930221191814601	5.7
15	13.5	28.1	799.1	0.969887227694795	5.6
15	14	28.2	717.9	0.99850352350156	4.9
15	14.5	28	522.5	0.964253674441964	5.7
15	15	27.8	502.9	0.911959088170961	5.8
15	15.5	28	602.7	0.899970096145833	5.2
15	16	28	525.6	0.918877030938813	5.3
15	16.5	27.7	351.4	0.977249864325621	6.2
15	17	27.6	242	0.90506211168747	4.7
15	17.5	27.2	117.1	0.793899537539438	4.6
15	18	26.9	55	0.744586097603424	4.3
15	18.5	26.7	17	0.648275432768915	3.8
16	7	24.9	1.1	0.314969191691779	2.8
16	7.5	24.9	26.2	0.292921348273355	2.7
16	8	25.2	92.8	0.378367659946808	2.9
16	8.5	25.7	166.4	0.409594715006466	2.5
16	9	26.4	270.7	0.495763041347514	2.4
16	9.5	26.5	244	0.623368455688373	4
16	10	26.3	306.9	0.503113986771423	3.2
16	10.5	26.9	489.5	0.645307951256301	4
16	11	27.2	606.6	0.822768611631782	4.9
16	11.5	27.5	578.7	1.00996310943008	5.6
16	12	27.5	501.7	0.998945330054484	4.9
16	12.5	27.8	754	1.15489900920011	5.1
16	13	28.1	785.2	1.23993425971962	4.8
16	13.5	28.1	832.7	1.20189946647669	5.3
16	14	28	668.5	1.10038360495142	4.5
16	14.5	28	757.6	1.14576024845457	4.8
16	15	28	546.8	1.1155091527858	4.5
16	15.5	27.6	379.7	0.993721257322162	4.5
16	16	27.8	490	1.11378609948749	4.6
16	16.5	27.6	334.2	1.02327430586706	4.2
16	17	27.3	337.5	0.900201606702189	4
16	17.5	26.9	79	0.787133874609334	3.9
16	18	26.8	117	0.697923604408323	3.3
16	18.5	26.6	33.4	0.661888207768795	2.8
17	7	23.2	1.2	0.0824772476596532	1.5
17	7.5	23.3	41.8	0.0972834073254281	1.1
17	8	23.6	119.5	0.13693573301018	0.8
17	8.5	23.9	153.4	0.169096609841421	0.6
17	9	25.7	371.3	0.336924684924674	0.5
17	9.5	26.9	463.9	0.652399247423953	1.6
17	10	27.3	592.2	0.918350832643765	3
17	10.5	27.5	411.3	0.991600143804083	2.7
17	11	27.6	484.1	1.10454518936553	3.1
17	11.5	27.4	540.4	0.963907468742618	3.1
17	12	27.2	365.8	0.884115394078011	3.1
17	12.5	28.1	763.8	1.16766815255805	3.1
17	13	28.2	691.5	1.26630140336788	3.6
17	13.5	28.2	799.3	1.28160413936024	3.9
17	14	27.9	486.8	1.19549124295229	3.8
17	14.5	28.1	615.2	1.20950642512527	3.7
17	15	28	568.3	1.13819747453738	3.1
17	15.5	28	479.3	1.2062624397921	3.3
17	16	27.7	322.9	1.12216524344615	3.6
17	16.5	27.4	292	1.01502377390321	3.5
17	17	27.3	211.1	0.921980677832081	2.6
17	17.5	27	149.6	0.795337566139558	2.9
17	18	26.6	65.3	0.74201151713028	2.6
17	18.5	26.2	28.4	0.639649945158892	1.9
18	7	24.5	1.1	0.350585101117203	3
18	7.5	24.8	44.7	0.410154482151008	3.6
18	8	24.8	85.9	0.400761631414725	3.6
18	8.5	24.9	115.1	0.384262413863971	2.9
18	9	25.8	369.7	0.481809022786331	2.2
18	9.5	26.3	371.5	0.636593207751596	3.5
18	10	26.9	554.9	0.889957669040283	3.8
18	10.5	27.4	646.3	1.01867493855754	3.2
18	11	27.5	613.5	1.07239719255849	3.7
18	11.5	27.6	631.5	1.05652148548007	3.3
18	12	27.7	606.9	1.13702835925338	3.8
18	12.5	27.7	670.3	1.12588102239796	3.9
18	13	27.9	493.7	1.2105288686498	2.5
18	13.5	27.6	412.3	1.09346279616119	3.1
18	14	27.5	506	1.04301644755689	3.4
18	14.5	27.4	521.3	1.03327959717485	3.9
18	15	27.1	318.5	0.932758166586961	3.2
18	15.5	26.7	242.2	0.85151854142079	3.2
18	16	26.7	249.6	0.862031116006232	2.8
18	16.5	26.6	179.2	0.905741757999403	2.2
18	17	26.5	166.8	0.8173053085692	1.3
18	17.5	26.4	139.1	0.729873366428285	1.6
18	18	26.2	95	0.714502598315783	2.7
18	18.5	25.8	29.3	0.578170827343597	2.7
19	7	22.7	1.4	0.102091433390354	1.8
19	7.5	22.3	40.2	0.0673243941990222	2.2
19	8	22.6	133.5	0.0713058515872227	2.2
19	8.5	23.5	213.8	0.141904876370922	0.9
19	9	25.2	372.6	0.323857064869726	0.4
19	9.5	26.4	479.7	0.647246192870366	1.4
19	10	25.8	229.2	0.551588260569179	3.6
19	10.5	25	415.9	0.348538455350298	3.3
19	11	26.2	676.6	0.551187718700747	2.9
19	11.5	26.9	515.1	0.900594613291761	3.2
19	12	26.9	680	0.815499059279941	3.5
19	12.5	26.9	515.9	0.772951282274031	4.3
19	13	26.7	378.6	0.774426327794217	4.5
19	13.5	26.8	308.7	0.831868538587697	3.3
19	14	26.8	248.2	0.863592338788076	3.1
19	14.5	26.9	298.4	0.904140261375587	2.9
19	15	27.1	364	0.96504594927651	3.2
19	15.5	27	305.2	0.930865940638675	3.1
19	16	26.8	178.5	0.807194471765181	3.6
19	16.5	26.4	169.5	0.667902986259846	3.4
19	17	26.5	121	0.765357937261836	3
19	17.5	26.4	97.3	0.729873366428285	2.7
19	18	26.2	57.5	0.646454731809518	2.1
19	18.5	26.1	29.2	0.632498709933468	2
20	7	23.9	1.6	0.136463930749216	2.3
20	7.5	23.6	30.4	0.107800470667589	1.9
20	8	23.5	81.1	0.0781924828982631	1.4
20	8.5	23.6	104.6	0.0699246296222199	1.9
20	9	23.7	133.6	0.0674159201048117	1.8
20	9.5	24.4	363.2	0.100879457785961	1
20	10	25.5	318.4	0.277457962202103	1.6
20	10.5	25.1	210.3	0.261372471175333	3.5
20	11	26	597.7	0.460649050967688	3.1
20	11.5	26.3	171.9	0.544184516303784	3.9
20	12	24.8	98.5	0.225428417670783	3.2
20	12.5	25.1	253.8	0.293247162782081	3.6
20	13	26.1	400.9	0.605439941594069	3.9
20	13.5	27	418.8	0.806037174652646	3.5
20	14	26.9	299.8	0.730403505268121	4
20	14.5	27.1	403.4	0.864595069797914	3.6
20	15	27	257.7	0.788204493797499	3.5
20	15.5	26.9	244.6	0.808407763112289	3.5
20	16	26.6	175.9	0.755946005714887	3.4
20	16.5	26.8	229	0.817769071831974	3.3
20	17	26.8	177	0.817769071831974	3.7
20	17.5	26.5	94.3	0.737652672564575	2.9
20	18	26.4	62.7	0.678231382954586	2.3
20	18.5	26.2	21.4	0.615833191881699	1.7
21	7	23.1	0.7	0.0734994028708241	0.6
21	7.5	23.1	5.2	0.0763263029812406	2.7
21	8	23.4	24.9	0.0921152481550449	2.4
21	8.5	23.3	55.3	0.0686706404650081	1.2
21	9	23.6	95	0.0495299459824057	0.8
21	9.5	23.8	154.7	0.0383346661857959	1.4
21	10	24.1	150.2	0.0450369280760498	1.5
21	10.5	23.7	84	0.0791404279491269	3
21	11	23	117.5	0.0871052739237297	4.2
21	11.5	22.8	146.1	0.086056367506425	3.7
21	12	23.3	221.7	0.07153191715105	2.1
21	12.5	23.6	220.6	0.0611840509194421	2.2
21	13	24	165.6	0.0746121879328351	1.3
21	13.5	24.1	139.8	0.0720590849216798	1.9
21	14	24.6	277.3	0.114469070594947	1
21	14.5	24.9	253.6	0.192131206931985	2.1
21	15	25.8	320.7	0.392092859922669	2.6
21	15.5	26.2	276.8	0.442311132290723	2.7
21	16	25.7	257.9	0.336924684924674	2.5
21	16.5	26.3	224.6	0.540761972176087	2.6
21	17	26.6	207.7	0.728077028545674	3.1
21	17.5	26.4	140.3	0.705773774140558	3
21	18	26.2	76.3	0.697490631689217	2.8
21	18.5	25.9	21.2	0.61837364588869	2.5
22	7	23.9	5.3	0.281827683069034	2.6
22	7.5	24.1	38.5	0.327268344019295	2.4
22	8	24.2	80.9	0.311114658956716	1.7
22	8.5	25.2	202	0.493801861286513	2.5
22	9	26.3	367	0.698199002050138	2.6
22	9.5	25.9	305.5	0.641771567625019	4
22	10	24.2	119.7	0.256745106906028	3.3
22	10.5	24	295.2	0.199960663659998	3.5
22	11	23.8	271	0.182826869501488	3.1
22	11.5	24	370.1	0.191007201108058	2
22	12	24.7	336.6	0.317455208950843	3.7
22	12.5	23.8	396.4	0.203468612832302	2.9
22	13	25.3	617.6	0.361271807757971	1.9
22	13.5	26.7	806.5	0.788443093908139	3.7
22	14	26.8	461.9	0.838918271965559	3.9
22	14.5	27.2	560.3	1.03567803306281	3.9
22	15	27.1	424.7	0.972221012096409	3.5
22	15.5	26.5	198.6	0.824231624743515	2.9
22	16	26.2	194	0.724709778291723	3.3
22	16.5	26.6	355.3	0.8987745137071	4.4
22	17	26.4	158.1	0.840042931172177	3.5
22	17.5	26.2	125	0.82678157805112	3.2
22	18	26.1	61.5	0.771174897672892	2.8
22	18.5	25.4	27.1	0.538649455520813	1.7
23	7	24.3	1.1	0.708015778427021	1.8
23	7.5	24.1	31.5	0.612502221834277	1
23	8	24.2	122.8	0.640352501930329	1.3
23	8.5	24.7	143.3	0.700268843273919	2.4
23	9	25.1	261.4	0.643868770456309	2.5
23	9.5	26.1	450.8	0.821910088309266	2.5
23	10	25.9	278.8	0.818927260771508	3.8
23	10.5	24.8	436.1	0.522868690986399	3.6
23	11	26.4	629.8	0.988083283796782	4.1
23	11.5	27	778.4	1.2982191662547	4.7
23	12	27.3	795.4	1.37934117155981	4.5
23	12.5	27.5	953.8	1.39558538757612	4.2
23	13	27.2	695.9	1.29189106563236	4.8
23	13.5	27.3	776.9	1.30311442260518	3.6
23	14	27.4	713.2	1.34362859279274	4
23	14.5	27.1	443	1.21976067938295	3.7
23	15	27.2	439.1	1.19084930630916	2.5
23	15.5	27.2	506.6	1.20167520909379	2.7
23	16	27.3	391.9	1.34304271967665	2.8
23	16.5	27.1	376	1.22693574220285	2.8
23	17	27	276.9	1.19478961729485	3.3
23	17.5	26.6	176	1.07295562101468	3.2
23	18	26.7	132	1.11082871452836	2.7
23	18.5	26.2	40	0.990096457666156	2.6
24	7	22.8	-1.3	0.330345410750471	0.6
24	7.5	23.5	40.1	0.44309073642349	0.9
24	8	24.1	129.8	0.543445598784334	0.6
24	8.5	24.4	231.6	0.534966821592216	1.2
24	9	25.3	364.6	0.632225663576449	1.8
24	9.5	26	470.9	0.780077224996376	3.2
24	10	26.4	570.6	1.00185447938977	3.8
24	10.5	26.9	655.1	1.04951183281245	3.2
24	11	27.2	702.8	1.25219608875539	3.6
24	11.5	27.2	747.9	1.25580472301693	4
24	12	27.1	603.3	1.1802978338735	3.4
24	12.5	27.5	790.7	1.28540759382011	3.5
24	13	27.7	888.2	1.35625931741008	3.5
24	13.5	27.9	694.7	1.33458928065429	2.9
24	14	27.9	611.5	1.34586749992742	2.5
24	14.5	27.8	717.6	1.3081380363108	3.5
24	15	27.6	586.6	1.25231043209001	3.6
