NightTemperature	Rainfall
24.942	2.2
24.8	0.2
24.988	0
25.208	0.8
25.038	9.8
25.008	0
24.921	0
24.942	0
25.121	0
24.812	0
25.171	0
24.842	0
24.6	0
24.962	0
25.142	0
25.171	0
25.55	0.6
25.533	5
25.354	2
25.417	2.4
25.679	0.4
25.779	0.2
25.312	7.8
24.875	0
24.675	0
24.8	0
25.104	0
25.321	5.8
25.304	0
24.95	0
24.9	0
24.921	0
25.496	0.6
25.342	0
24.337	2.8
24.038	0.6
24.058	18.4
24.433	2.6
24.779	0
25.042	0.2
24.113	7.8
23.962	0
24.833	2.6
25.142	1.6
25.121	7
24.829	0.2
25.3	0
24.879	19.8
25.283	16
24.879	44.6
25.725	0
25.421	0
25.646	0
25.587	0
25.75	3
24.988	0.6
24.058	30.8
24.621	23.6
25.142	1.2
25.554	21.2
25.546	5.6
24.358	3.4
25.483	0.4
23.863	6.4
24.171	6.4
24.429	23.8
23.904	41
23.779	17.8
25	13.8
23.671	115.6
25.408	3.8
25.392	3.6
24.95	2.2
24.429	18.6
25.104	8
25.658	9
24.521	72.8
23.508	11.8
24.133	19
25.45	2
25.7	0
25.521	5
25.767	1.6
25.175	6.8
25.329	0.2
25.163	0
24.95	0
25.258	0
25.212	0
24.6	7
23.863	12.4
24.337	17.4
25.304	3
25.292	4.2
25.258	2
25.421	0
23.508	2.4
23.742	16
25.396	9.4
25.396	1
25.562	5.2
25.342	7.6
25.358	2.6
25.104	4.4
25.8	0.6
25.917	0
25.946	1.8
25.867	1.2
25.229	7.8
25.217	0
24.821	0
25.108	3.4
25.779	8
25.629	7
25.917	0.2
25.408	1
25.721	0.2
25.583	1.6
25.533	0
23.171	29.8
25.8	1
25.554	0
25.496	4.2
26.262	0.4
25.85	1
25.017	0.2
25.05	2.6
25.212	0
25.363	3.2
25.5	1
25.858	0.2
25.996	13.8
25.767	4.2
25.258	19.6
24.292	52
25.738	1.4
25.579	1.8
25.892	3.6
24.525	18.4
24.429	34
25.921	0.2
25.404	5.4
24.2	16.4
23.975	156.6
24.021	15.8
25.5	6.8
26.096	1
25.971	2.4
24.688	98.2
24.137	35.2
24.625	28.6
25.542	10.4
24.613	4.8
24.254	19.8
24.471	3.4
25.9	0.2
25.046	70.2
24.142	14
24.508	11.8
24.658	17.4
24.913	0.6
24.104	11
24.738	2.4
25.238	0.2
25.142	0
24.804	0.4
24.554	3.8
24.212	153.8
23.883	59.2
24.292	33.2
23.908	9
24.279	1.4
25.637	0
25.2	0.2
24.783	32
25.154	5.4
24.979	12.8
25.383	10.8
24.45	14.6
24.525	42.6
24.642	48.6
24.121	4.2
24.15	6.4
23.871	3.6
24.262	0.2
25.15	0
25.479	0.4
25.383	19
25.604	0
24.992	11.8
24.229	2.8
24.988	10.6
24.9	13
24.129	14
24.95	8.6
24.137	24.4
24.188	34
24.771	1.6
25.146	2.8
24.738	0.2
24.483	2.4
24.471	13.2
25.079	28.6
24.85	0.2
24.992	4.2
24.746	0.8
25.067	11.2
25.204	0
25.179	0
24.054	0.4
24.517	4
24.375	4
24.575	0.8
25.042	1.2
24.104	33
23.646	10.2
25.45	4.2
24.887	1.8
24.292	8.8
24.062	18
24.629	1.8
25.354	0
24.104	67.4
24.008	0
25.283	4.4
23.917	11
24.712	0
25.404	4.2
24.354	0
24.071	0
23.725	24.2
24.258	0
23.625	2.6
23.087	7.8
23.633	9.6
24.292	0.6
24.092	10.8
24.008	2.4
24.304	0.6
24.179	7.6
24.204	3.6
24.592	4.2
24.354	6.8
25.042	12
23.704	14.4
23.871	0
23.579	6
24.462	0.8
24.954	0
24.892	0
24.971	1.8
24.842	10.8
25.108	0
25.121	0.6
23.767	20.8
23.233	0.6
23.996	1
23.433	0.2
24.342	0.2
25.004	0.2
24.821	1
24.404	2.4
24.3	0
24.538	0.2
24.425	0
24.571	0.4
23.896	18.4
24.062	0.4
25.042	0
25.254	0
25.408	2.2
24.721	2
24.475	0
25.133	0
24.646	5.8
24.283	1
24.538	1.6
24.683	0.8
24.667	0
24.712	0
24.762	0
24.704	0
24.821	0
24.825	0.2
25.321	1
23.917	2.8
24.575	0
25.062	0
25.1	0
24.925	0
24.854	0
25.096	0
25.283	0.2
25.062	0.4
25.325	2.6
23.783	16.4
24.704	0
25.321	0.2
24.704	0.2
25.508	0
25.587	0
25.458	0
25.204	0
25.417	0
25.425	0
25.479	0
25.146	0
25.125	0
25.95	0
25.312	0
25.329	0
25.55	0
24.717	0
24.196	0
24.312	0
24.9	0
25.1	0.6
25.021	0
25.108	0
24.85	0.2
25.25	0
25.771	0.8
25.246	0
25.025	0
25.333	0
25.329	0
25.413	0.2
25.104	0
24.992	0
25.083	0
25.2	0
25.071	0
25.104	0
24.875	0
25.163	0
24.863	0
25.292	3.4
25.575	0
25.346	0
25.712	0
25.717	0
26.117	0
25.142	0
25.35	0.6
25.225	0
25.658	0
25.504	0.8
25.321	0
25.2	0
25.296	0.2
25.008	0
25.3	0
25.225	0
25.113	0
25.421	0.4
25.146	0.6
24.758	0
24.85	0
25.167	0
25.533	0
25.625	0.2
24.912	1.4
25.379	0.2
25.025	0
25.312	5
25.504	0.6
25.275	14.8
25.45	0
25.746	0
25.717	0.2
25.4	0
25.738	0
25.288	0
25.083	0
24.212	9.6
24.738	0
25.129	0
24.925	4.2
25.133	4
24.158	25.6
23.671	23.4
25.137	1.2
24.613	0
24.804	1
24.221	25.4
23.846	13.8
24.242	0.2
25.25	3.6
24.833	1.4
24.829	19
23.325	27.6
23.792	0
24.233	48
23.346	19.6
24.121	32.6
25.212	4.6
25.096	9.4
24.55	69.8
24.262	39.4
23.55	101.6
23.887	39.4
24.475	4.8
25.175	0
23.796	16.2
24.217	18
24.608	1.6
24.033	14
23.654	10.6
